NC Code,Distiller,Brand Name,Age,Proof,Size,Retail Price,MB Price
"46-693","Pernod Ricard","Level","","80",".75L","29.9500","33.7000",
"46-704","Luctor Intl.","Van Gogh Dutch Caramel Vodka","001Y","70",".75L","22.9500","26.7000",
"46-705","Luctor Intl.","Van Gogh PB&J","","75",".75L","22.9500","26.7000",
"46-711","Kobrand Spirits","Vikingfjord","","80",".75L","12.9500","16.7000",
"46-712","Diageo NA","Ciroc Red Berry","","70","1.75L","60.9500","69.7000",
"46-713","Diageo NA","Ciroc Red Berry","","70",".75L","30.9500","34.7000",
"46-714","Diageo NA","Ciroc Red Berry","","70",".375L","17.9500","19.8300",
"46-715","Diageo NA","Ciroc Coconut","","70","1.75L","60.9500","69.7000",
"46-716","Diageo NA","Ciroc Coconut","","70",".75L","30.9500","34.7000",
"46-717","Diageo NA","Ciroc Coconut","","70",".375L","17.9500","19.8300",
"46-718","Diageo NA","Ciroc","","80","1.75L","60.9500","69.7000",
"46-720","Diageo NA","Ciroc","","80",".75L","30.9500","34.7000",
"46-721","Diageo NA","Ciroc","","80",".375L","17.9500","19.8300",
"46-722","Imperial Brands","Sobieski Cynamon","","70",".75L","12.9500","16.7000",
"46-723","Diageo NA","Ciroc Peach","","70",".75L","30.9500","34.7000",
"46-727","Imperial Brands","Sobieski Karamel","","70",".75L","12.9500","16.7000",
"46-729","Diageo NA","Ciroc Peach","","70","1.75L","60.9500","69.7000",
"46-730","Diageo NA","Ciroc Peach","","70",".375L","16.9500","18.8300",
"46-737","MHW/ Russian Standard","Russian Standard Original","","80",".75L","19.9500","23.7000",
"46-742","Bacardi","Eristoff Original Vodka","","80","1.75L","18.9500","27.7000",
"46-743","Bacardi","Eristoff Original Vodka","","80",".75L","9.9500","13.7000",
"46-746","W. J. Deutsch & Sons","Luksusowa Potato","","80","1.75L","21.9500","30.7000",
"46-747","W. J. Deutsch & Sons","Luksusowa Potato","","80",".75L","11.9500","15.7000",
"46-758","Imperial Brands","Sobieski Polish","","80","1.75L","22.9500","31.7000",
"46-759","Imperial Brands","Sobieski Polish","","80",".75L","12.9500","16.7000",
"46-760","Imperial Brands","Sobieski Polish TRV","","80",".75L","12.9500","16.7000",
"46-763","Brown - Forman","Chambord Vodka","","75",".75L","24.9500","28.7000",
"46-768","Luxco","Pearl Citrus (PET)","","70","1.75L","17.9500","26.7000",
"46-777","Luxco","Pearl Pomegranate","","70",".75L","12.9500","16.7000",
"46-778","Luxco","Pearl Coconut Vodka","","70",".75L","12.9500","16.7000",
"46-780","Luxco","Pearl Red Berry","","70",".75L","12.9500","16.7000",
"46-783","Luxco","Pearl (PET)","","80","1.75L","17.9500","26.7000",
"46-784","Luxco","Pearl","","80",".75L","12.9500","16.7000",
"46-793","Luctor Intl.","Van Gogh Blue Vodka","","80",".75L","22.9500","26.7000",
"46-803","Jim Beam Brands","Vox","","80","1.75L","39.9500","48.7000",
"46-804","Jim Beam Brands","Vox","","80",".75L","19.9500","23.7000",
"46-807","Proximo Spirits","Three Olives Bubble","","70",".75L","19.9500","23.7000",
"46-813","Proximo Spirits","Three Olives Rangtang","","70",".75L","19.9500","23.7000",
"46-815","Proximo Spirits","Three Olives Cake","","70",".75L","19.9500","23.7000",
"46-817","Proximo Spirits","Three Olives SuperCola","","70",".75L","19.9500","23.7000",
"46-822","Proximo Spirits","Three Olives Cherry","","70",".75L","19.9500","23.7000",
"46-826","Proximo Spirits","Three Olives","","80","1.75L","29.9500","38.7000",
"46-827","Proximo Spirits","Three Olives","","80",".75L","19.9500","23.7000",
"46-831","Patron Spirits","Ultimat","","80",".75L","39.9500","43.7000",
"46-836","Bacardi","Grey Goose","","80","1.75L","60.9500","69.7000",
"46-837","Bacardi","Grey Goose","","80",".75L","30.9500","34.7000",
"46-838","Bacardi","Grey Goose","","80",".375L","16.9500","18.8300",
"46-840","Bacardi","Grey Goose L'Orange","","80","1.75L","51.9500","60.7000",
"46-841","Bacardi","Grey Goose L'Orange","","80",".75L","27.9500","31.7000",
"46-842","Bacardi","Grey Goose L'Orange","","80",".375L","16.9500","18.8300",
"46-844","Bacardi","Grey Goose Le Citron","","80",".75L","27.9500","31.7000",
"46-845","Bacardi","Grey Goose Le Citron","","80",".375L","16.9500","18.8300",
"46-847","Bacardi","Grey Goose La Poire (Pear)","","80",".75L","27.9500","31.7000",
"46-848","Bacardi","Grey Goose Cherry Noir","","80",".75L","27.9500","31.7000",
"46-851","Palm Bay Imports","Voli Lemon","","60",".75L","23.9500","27.7000",
"46-854","Palm Bay Imports","Voli Lyte","","60",".75L","23.9500","27.7000",
"46-856","Diageo NA","Rokk","","80","1.75L","17.9500","26.7000",
"46-857","Diageo NA","Rokk","","80",".75L","11.9500","15.7000",
"46-859","Diageo NA","Ketel One","","80","1.75L","48.9500","57.7000",
"46-860","Diageo NA","Ketel One","","80",".75L","25.9500","29.7000",
"46-861","Diageo NA","Ketel One","","80",".375L","14.9500","16.8300",
"46-863","Spirits Marque One","Svedka Colada","","75",".75L","13.9500","17.7000",
"46-867","Spirits Marque One","Svedka Traveler","","80",".75L","12.9500","16.7000",
"46-868","Spirits Marque One","Svedka","","80","1.75L","22.9500","31.7000",
"46-869","Spirits Marque One","Svedka","","80",".75L","12.9500","16.7000",
"46-870","Spirits Marque One","Svedka","","80",".375L","5.9500","7.8300",
"46-871","Spirits Marque One","Svedka Clementine","","75",".75L","12.9500","16.7000",
"46-874","Spirits Marque One","Svedka Citron","","75","1.75L","22.9500","31.7000",
"46-875","Castle Brands","Boru Original Irish","","80","1.75L","19.9500","28.7000",
"46-882","Diageo NA","Ketel One Oranje","","80",".75L","19.9500","23.7000",
"46-884","Diageo NA","Ketel One Citroen","","80","1.75L","48.9500","57.7000",
"46-885","Diageo NA","Ketel One Citroen","","80",".75L","19.9500","23.7000",
"46-899","Spirits Marque One","Svedka Clementine","","75","1.75L","22.9500","31.7000",
"46-913","Moet Hennessy","Belvedere Cytrus","","80",".75L","29.9500","33.7000",
"46-915","Moet Hennessy","Belvedere Lemon Tea","","80",".75L","24.9500","28.7000",
"46-921","Moet Hennessy","Belvedere IX","","80",".75L","34.9500","38.7000",
"46-924","Moet Hennessy","Belvedere Intense","","100",".75L","34.9500","38.7000",
"46-927","Moet Hennessy","Belvedere Pink Grapefruit","","80",".75L","29.9500","33.7000",
"46-931","Jim Beam Brands","Effen Black Cherry","","75",".75L","29.9500","33.7000",
"46-934","Jim Beam Brands","Effen","","80",".75L","29.9500","33.7000",
"46-937","Proximo Spirits","Three Olives Chocolate","","70",".75L","19.9500","23.7000",
"46-939","Proximo Spirits","Three Olives Purple","","70",".75L","19.9500","23.7000",
"46-941","Proximo Spirits","Three Olives Triple Shot Espresso","","70",".75L","19.9500","23.7000",
"46-943","Proximo Spirits","Three Olives Orange","","70",".75L","19.9500","23.7000",
"46-945","Proximo Spirits","Three Olives "Dude"","","70",".75L","19.9500","23.7000",
"46-946","Proximo Spirits","Three Olives Pomegranate","","70",".75L","19.9500","23.7000",
"46-949","Proximo Spirits","Three Olives Grape","","70",".75L","19.9500","23.7000",
"46-951","White Rock","Pinnacle Whipped","","70",".375L","7.9500","9.8300",
"46-952","Proximo Spirits","Three Olives Berry","","70",".75L","19.9500","23.7000",
"46-953","White Rock","Pinnacle Whipped","","70","1.75L","22.9500","31.7000",
"46-956","White Rock","Pinnacle Cotton Candy","","70",".75L","14.9500","18.7000",
"46-957","White Rock","Pinnacle Whipped","","70",".75L","14.9500","18.7000",
"46-959","White Rock","Pinnacle Le Double Espresso","","70",".75L","14.9500","18.7000",
"46-960","White Rock","Pinnacle Kiwi-Strawberry","","70",".75L","14.9500","18.7000",
"46-961","White Rock","Pinnacle Citrus","","70",".75L","14.9500","18.7000",
"46-962","White Rock","Pinnacle Citrus","","70","1.75L","22.9500","31.7000",
"46-964","White Rock","Pinnacle Raspberry","","70",".75L","14.9500","18.7000",
"46-965","White Rock","Pinnacle Kiwi Strawberry","","70","1.75L","22.9500","31.7000",
"46-967","White Rock","Pinnacle Cherry","","70",".75L","14.9500","18.7000",
"46-968","White Rock","Pinnacle Cherry Lemonade","","70",".75L","14.9500","18.7000",
"46-973","White Rock","Pinnacle Grape","","70",".75L","14.9500","18.7000",
"46-974","White Rock","Pinnacle 100","","100","1.75L","25.9500","34.7000",
"46-975","White Rock","Pinnacle","","80","1.75L","19.9500","28.7000",
"46-976","White Rock","Pinnacle","","80",".75L","13.9500","17.7000",
"46-977","White Rock","Pinnacle","","80",".375L","6.9500","8.8300",
"46-978","White Rock","Pinnacle (PET)","","80",".75L","13.9500","17.7000",
"46-979","White Rock","Pinnacle Orange","","70",".75L","14.9500","18.7000",
"46-980","White Rock","Pinnacle Tropical Punch","","70",".75L","14.9500","18.7000",
"46-981","White Rock","Pinnacle Chocolate Whipped","","70",".75L","14.9500","18.7000",
"46-983","White Rock","Pinnacle Cake","","70",".75L","14.9500","18.7000",
"46-987","White Rock","Pinnacle Marshmallow","","70",".75L","14.9500","18.7000",
"46-990","White Rock","Pinnacle Key Lime","","70",".75L","14.9500","18.7000",
"46-991","Wilson Daniels","Crystal Head","","80","1.75L","99.9500","108.7000",
"46-992","Wilson Daniels","Crystal Head","","80",".75L","49.9500","53.7000",
"46-995","White Rock","Pinnacle Cookie Dough","","70",".75L","14.9500","18.7000",
"46-996","White Rock","Pinnacle Atomic Hots","","70",".75L","14.9500","18.7000",
"47-001","White Rock","Pinnacle Cherry Whipped","","70",".75L","14.9500","18.7000",
"47-002","White Rock","Pinnacle Orange Whipped","","70",".75L","14.9500","18.7000",
"47-004","William Grant","Reyka","","80",".75L","23.9500","27.7000",
"47-017","Bacardi","Bacardi Oakheart Spiced Rum","","70","1.75L","27.9500","36.7000",
"47-018","Bacardi","Bacardi Oakheart Spiced Rum","","70",".75L","17.9500","21.7000",
"47-107","Wilson Daniels","Zaya Rum","012Y","80",".75L","34.9500","38.7000",
"47-116","White Rock","Cherry Jack","","42",".75L","10.9500","14.7000",
"47-118","White Rock","Coconut Jack","","42","1.75L","19.9500","28.7000",
"47-119","White Rock","Coconut Jack","","42",".75L","10.9500","14.7000",
"47-122","White Rock","Pineapple Jack","","42",".75L","10.9500","14.7000",
"47-125","White Rock","Cake Jack Rum","","42",".75L","10.9500","14.7000",
"47-126","White Rock","Whipped Jack","","42",".75L","10.9500","14.7000",
"47-145","Sazerac NA","Calypso Spiced Rum","","70","1.75L","21.9500","30.7000",
"47-172","Demerara Distillers","El Dorado Superior White Rum","003Y","80",".75L","10.9500","14.7000",
"47-470","Heaven Hill","Ron Llave Blanco Supremo","","80","1.75L","17.2000","25.9500",
"47-471","Heaven Hill","Ron Llave Blanco Supremo","","80",".75L","7.6000","11.3500",
"47-474","Heaven Hill","Ron Llave Oro Supremo","","80","1.75L","17.2000","25.9500",
"47-475","Heaven Hill","Ron Llave Oro Supremo","","80",".75L","7.6000","11.3500",
"47-532","Diageo NA","Oronoco Rum (Brasil)","","80",".75L","34.9500","38.7000",
"47-535","Moet Hennessy","10 Cane Trinidad","","80",".75L","29.9500","33.7000",
"47-541","Chatham Imports","Jose Marti Mojito","","80",".75L","16.9500","20.7000",
"47-562","Heaven Hill","Whaler's "Killer" Coconut","","40",".75L","9.9500","13.7000",
"47-565","Heaven Hill","Whaler's Vanille","","60",".75L","9.9500","13.7000",
"47-568","Patron Spirits","Pyrat  XO Reserve Rum","","80",".75L","34.9500","38.7000",
"47-569","Patron Spirits","Pyrat XO Reserve","","80",".375L","17.9500","19.8300",
"47-622","Bacardi","Bacardi Big Apple","","70",".75L","13.9500","17.7000",
"47-625","Bacardi","Bacardi Grand Melon","","70",".75L","13.9500","17.7000",
"47-627","Bacardi","Bacardi Peach Red","","70","1.75L","21.9500","30.7000",
"47-628","Bacardi","Bacardi Peach Red","","70",".75L","13.9500","17.7000",
"47-631","Bacardi","Bacardi Rock Coconut","","70",".75L","13.9500","17.7000",
"47-634","Bacardi","Bacardi Arctic Grape","","70",".75L","13.9500","17.7000",
"47-651","Proximo Spirits","Kraken Black Spiced Rum","","94","1.75L","29.9500","38.7000",
"47-652","Proximo Spirits","Kraken Black Spiced Rum","","94",".75L","19.9500","23.7000",
"47-745","Bacardi","Bacardi O","","70","1.75L","21.9500","30.7000",
"47-746","Bacardi","Bacardi O","","70",".75L","13.9500","17.7000",
"47-750","Bacardi","Bacardi 8","","80",".75L","23.9500","27.7000",
"47-754","Bacardi","Bacardi 1873 Solera","","80",".75L","17.9500","21.7000",
"47-761","Bacardi","Bacardi Razz","","70","1.75L","21.9500","30.7000",
"47-762","Bacardi","Bacardi Razz","","70",".75L","13.9500","17.7000",
"47-765","Bacardi","Bacardi Coconut","","70","1.75L","21.9500","30.7000",
"47-766","Bacardi","Bacardi Coconut","","70",".75L","12.9500","16.7000",
"47-768","Bacardi","Bacardi Torched Cherry","","70","1.75L","21.9500","30.7000",
"47-769","Bacardi","Bacardi Torched Cherry","","70",".75L","13.9500","17.7000",
"47-772","Bacardi","Bacardi Wolf Berry","","70",".75L","13.9500","17.7000",
"47-774","Bacardi","Bacardi Dragonberry","","70","1.75L","21.9500","30.7000",
"47-775","Bacardi","Bacardi Dragonberry","","70",".75L","13.9500","17.7000",
"47-797","Bacardi","Bacardi Limon (PET)","","70",".75L","13.9500","17.7000",
"47-798","Bacardi","Bacardi Limon","","70","1.75L","21.9500","30.7000",
"47-799","Bacardi","Bacardi Limon","","70",".75L","13.9500","17.7000",
"47-800","Bacardi","Bacardi Limon","","70",".375L","7.9500","9.8300",
"47-801","Bacardi","Bacardi Select","","80","1.75L","19.9500","28.7000",
"47-803","Bacardi","Bacardi Select","","80",".75L","11.9500","15.7000",
"47-806","Bacardi","Bacardi Select","","80",".375L","5.9500","7.8300",
"47-811","Bacardi","Bacardi 151","","151",".75L","22.9500","26.7000",
"47-814","Bacardi","Bacardi 151","","151",".375L","12.9500","14.8300",
"47-819","Bacardi","Bacardi Gold","","80","1.75L","19.9500","28.7000",
"47-820","Bacardi","Bacardi Gold (PET)","","80",".75L","11.9500","15.7000",
"47-821","Bacardi","Bacardi Gold","","80",".75L","11.9500","15.7000",
"47-824","Bacardi","Bacardi Gold","","80",".375L","5.9500","7.8300",
"47-827","Bacardi","Bacardi Anejo","","80",".75L","15.9500","19.7000",
"47-840","Bacardi","Bacardi Superior TRV","","80",".75L","11.9500","15.7000",
"47-841","Bacardi","Bacardi Superior","","80","1.75L","19.9500","28.7000",
"47-843","Bacardi","Bacardi Superior","","80",".75L","11.9500","15.7000",
"47-846","Bacardi","Bacardi Superior","","80",".375L","5.9500","7.8300",
"47-855","Bacardi","Castillo Gold Label","","80","1.75L","18.9500","27.7000",
"47-857","Bacardi","Castillo Gold Label","","80",".75L","8.9500","12.7000",
"47-860","Bacardi","Castillo Silver Label TRV","","80",".75L","8.9500","12.7000",
"47-861","Bacardi","Castillo Silver Label","","80","1.75L","18.9500","27.7000",
"47-863","Bacardi","Castillo Silver Label","","80",".75L","8.9500","12.7000",
"47-907","MHW/ Destilleria Serralles","Don Q Cristal Rum","","80","1.75L","18.9500","27.7000",
"47-909","MHW/ Destilleria Serralles","Don Q Cristal Rum","","80",".75L","10.9500","14.7000",
"48-008","Jim Beam Brands","Ronrico Gold","","80","1.75L","16.9500","25.7000",
"48-009","Jim Beam Brands","Ronrico Gold","","80",".75L","8.9500","12.7000",
"48-024","Jim Beam Brands","Ronrico Silver","","80","1.75L","16.9500","25.7000",
"48-025","Jim Beam Brands","Ronrico Silver","","80",".75L","8.9500","12.7000",
"48-027","Jim Beam Brands","Ronrico Silver","","80",".375L","4.9500","6.8300",
"48-028","Jim Beam Brands","Ronrico Silver TRV","","80",".75L","8.9500","12.7000",
"48-414","Heaven Hill","Aristocrat Rum 80","","80","1.75L","14.5000","23.2500",
"48-415","Heaven Hill","Aristocrat Rum 80","","80",".75L","6.9500","10.7000",
"48-417","Heaven Hill","Aristocrat Rum 80","","80",".375L","4.0000","5.8800",
"48-418","Heaven Hill","Aristocrat Rum Gold","","80","1.75L","14.5000","23.2500",
"48-419","Heaven Hill","Aristocrat Rum Gold","","80",".75L","6.9500","10.7000",
"48-425","Shaw - Ross Inter. Imp.","British Navy Pusser's","","84",".75L","23.9500","27.7000",
"48-442","Heaven Hill","Blackheart Rum","","93",".75L","14.9500","18.7000",
"48-444","Heaven Hill","Blackheart Spiced Rum","","93","1.75L","24.9500","33.7000",
"48-450","Majestic Distilling","Clipper Light","","80",".75L","6.6000","10.3500",
"48-455","Jim Beam Brands","Cruzan - Estate Single Barrel","","80",".75L","28.9500","32.7000",
"48-460","Jim Beam Brands","Cruzan - Estate Light","","80","1.75L","19.9500","28.7000",
"48-461","Jim Beam Brands","Cruzan - Estate Light","","80",".75L","11.9500","15.7000",
"48-465","Jim Beam Brands","Cruzan - Estate Dark","002Y","80","1.75L","19.9500","28.7000",
"48-466","Jim Beam Brands","Cruzan - Estate Dark","002Y","80",".75L","11.9500","15.7000",
"48-469","Jim Beam Brands","Cruzan - Blackstrap","","80",".75L","14.9500","18.7000",
"48-471","Jim Beam Brands","Cruzan - Mango","","42",".75L","11.9500","15.7000",
"48-474","Jim Beam Brands","Cruzan - Banana","","42",".75L","11.9500","15.7000",
"48-477","Jim Beam Brands","Cruzan - Coconut","","42",".75L","11.9500","15.7000",
"48-480","Jim Beam Brands","Cruzan - Pineapple","","42",".75L","11.9500","15.7000",
"48-488","Jim Beam Brands","Cruzan - Vanilla","","42",".75L","11.9500","15.7000",
"48-494","Jim Beam Brands","Cruzan - Black Cherry","","42",".75L","11.9500","15.7000",
"48-500","Jim Beam Brands","Cruzan 9","","80",".75L","15.9500","19.7000",
"48-503","Jim Beam Brands","Cruzan Strawberry","","42",".75L","11.9500","15.7000",
"48-538","McCormick","Montego Bay - Gold","","80","1.75L","16.9500","25.7000",
"48-540","McCormick","Montego Bay - Gold","","80",".75L","6.8500","10.6000",
"48-550","McCormick","Montego Bay - Light","","80","1.75L","16.9500","25.7000",
"48-551","McCormick","Montego Bay - Light","","80",".75L","6.8500","10.6000",
"48-575","Celebration Distillation","Old New Orleans Rum Crystal","","80",".75L","20.9500","24.7000",
"48-576","Celebration Distillation","Old New Orleans Rum Cajun Spice","","80",".75L","26.9500","30.7000",
"48-578","Celebration Distillation","Old New Orleans Rum Amber","003Y","80",".75L","23.9500","27.7000",
"48-660","Montebello Brands","Ron Pablo","","80","1.75L","14.6000","23.3500",
"48-661","Montebello Brands","Ron Pablo","","80",".75L","6.8500","10.6000",
"48-993","A. Hardy USA","RumChata","","27.5",".75L","22.9500","26.7000",
"49-006","Campari America","Flor De Cana Grand Reserve 7Y","007Y","80",".75L","23.9500","27.7000",
"49-012","Campari America","Flor De Cana Gold","004Y","80",".75L","15.9500","19.7000",
"49-095","Kobrand Spirits","Appleton Extra","012Y","86",".75L","29.9500","33.7000",
"49-106","Kobrand Spirits","Appleton Special","","80","1.75L","25.9500","34.7000",
"49-107","Kobrand Spirits","Appleton Special","","80",".75L","16.4500","20.2000",
"49-116","Kobrand Spirits","Appleton Estate V/X","","80",".75L","22.4500","26.2000",
"49-124","Castle Brands","Gosling's Black Seal","","80","1.75L","32.9500","41.7000",
"49-125","Castle Brands","Gosling's Black Seal","","80",".75L","16.9500","20.7000",
"49-145","Diageo NA","Myers's Original Dark","","80","1.75L","36.9500","45.7000",
"49-146","Diageo NA","Myers's Original Dark","","80",".75L","18.9500","22.7000",
"49-150","Diageo NA","Myers's Original Dark","","80",".375L","9.9500","11.8300",
"49-200","Remy Cointreau","Mt Gay Eclipse","","80","1.75L","27.9500","36.7000",
"49-201","Remy Cointreau","Mt. Gay Eclipse","","80",".75L","19.9500","23.7000",
"49-206","Remy Cointreau","Mt. Gay Black","","100",".75L","23.9500","27.7000",
"49-216","William Grant","Sailor Jerry Spiced Navy","","92","1.75L","31.9500","40.7000",
"49-217","William Grant","Sailor Jerry Spiced Navy","","92",".75L","18.9500","22.7000",
"49-218","William Grant","Sailor Jerry Spiced Navy","","92",".375L","9.9500","11.8300",
"49-220","Diageo NA","Capt. Morgan Parrot Bay-Passion Fruit","","42",".75L","12.9500","16.7000",
"49-226","Heaven Hill","Admiral Nelson's Spiced 70","","70","1.75L","19.9500","28.7000",
"49-227","Heaven Hill","Admiral Nelson's Spiced 70","","70",".75L","9.9500","13.7000",
"49-228","Diageo NA","Capt. Morgan Private Stock","","80","1.75L","32.9500","41.7000",
"49-229","Diageo NA","Capt. Morgan Private Stock","","80",".75L","22.9500","26.7000",
"49-231","Diageo NA","Capt. Morgan Spiced 70","","70","1.75L","29.9500","38.7000",
"49-232","Diageo NA","Capt. Morgan Spiced 70","","70",".75L","17.9500","21.7000",
"49-233","Diageo NA","Capt. Morgan Spiced 70 Lt Wt Flsk","","70",".75L","17.9500","21.7000",
"49-234","Diageo NA","Capt. Morgan Spiced 70","","70",".375L","9.9500","11.8300",
"49-236","Diageo NA","Capt. Morgan Silver Spiced 70","","70",".75L","17.9500","21.7000",
"49-237","Black Prince","Sir Francis Drake Spiced","","70","1.75L","16.9500","25.7000",
"49-240","Diageo NA","Capt. Morgan Spiced 100","","100","1.75L","30.9500","39.7000",
"49-241","Diageo NA","Capt. Morgan Spiced 100","","100",".75L","19.9500","23.7000",
"49-244","Diageo NA","Capt. Morgan Parrot Bay-Cocnt 90","","90",".75L","12.9500","16.7000",
"49-247","Diageo NA","Capt. Morgan Lime Bite","","70",".75L","17.9500","21.7000",
"49-249","Sazerac","Barbarossa Spiced","","70","1.75L","18.9500","27.7000",
"49-250","Sazerac","Barbarossa Spiced","","70",".75L","8.9500","12.7000",
"49-252","Heaven Hill","Admiral Nelson's Spiced Cherry","","70",".75L","9.9500","13.7000",
"49-253","Heaven Hill","Admiral Nelson's Coconut","","42",".75L","9.9500","13.7000",
"49-294","Diageo NA","Capt. Morgan Black Spiced Rum","","94.6","1.75L","32.9500","41.7000",
"49-295","Diageo NA","Capt. Morgan Black Spiced Rum","","94.6",".75L","21.9500","25.7000",
"49-298","Diageo NA","Capt. Morgan Parrot Bay-Cocont Lt Wt Flsk","","42",".75L","12.9500","16.7000",
"49-299","Diageo NA","Capt. Morgan Parrot Bay-Coconut","","42","1.75L","26.9500","35.7000",
"49-300","Diageo NA","Capt. Morgan Parrot Bay-Coconut","","42",".75L","12.9500","16.7000",
"49-301","Diageo NA","Capt. Morgan Parrot Bay-Coconut","","42",".375L","8.9500","10.8300",
"49-303","Diageo NA","Capt. Morgan Parrot Bay-Pineapple","","42",".75L","12.9500","16.7000",
"49-306","Diageo NA","Capt. Morgan Parrot Bay-Mango","","42",".75L","12.9500","16.7000",
"49-312","Diageo NA","Capt. Morgan Parrot Bay-Strawberry","","42",".75L","12.9500","16.7000",
"49-315","Pernod Ricard","Malibu Coconut","","42","1.75L","27.9500","36.7000",
"49-316","Pernod Ricard","Malibu Coconut","","42",".75L","13.9500","17.7000",
"49-317","Pernod Ricard","Malibu Coconut  (PET)","","42",".75L","13.9500","17.7000",
"49-318","Pernod Ricard","Malibu Coconut","","42",".375L","8.9500","10.8300",
"49-320","Pernod Ricard","Malibu Tropical Banana","","42",".75L","13.9500","17.7000",
"49-323","Pernod Ricard","Malibu Island Melon","","42",".75L","13.9500","17.7000",
"49-339","Diageo NA","Capt. Morgan Tattoo","","70",".75L","17.9500","21.7000",
"49-355","Pernod Ricard","Malibu Sunshine","","42",".75L","11.9500","15.7000",
"49-358","Pernod Ricard","Malibu Red","","70",".75L","19.9500","23.7000",
"49-359","Pernod Ricard","Malibu Red Pet Flask","","70",".375L","10.9500","12.8300",
"49-360","Pernod Ricard","Malibu Black","","70","1.75L","29.9500","38.7000",
"49-361","Pernod Ricard","Malibu Black","","70",".75L","17.9500","21.7000",
"49-364","Pernod Ricard","Malibu Mango","","42",".75L","13.9500","17.7000",
"49-369","Pernod Ricard","Malibu Pineapple","","42",".75L","13.9500","17.7000",
"49-372","Pernod Ricard","Malibu Cranberry Cherry","","42",".75L","13.9500","17.7000",
"49-374","Pernod Ricard","Malibu Passion Fruit","","42",".75L","13.9500","17.7000",
"49-500","Heaven Hill","Christian Brothers Frost White","","70","1.75L","19.9500","28.7000",
"49-501","Heaven Hill","Christian Brothers Frost White","","70",".75L","10.7500","14.5000",
"49-502","Heaven Hill","Christian Brothers Frost White","","70",".375L","4.9500","6.8300",
"49-505","Heaven Hill","Christian Brothers TRV","","80",".75L","10.7500","14.5000",
"49-506","Heaven Hill","Christian Brothers","","80","1.75L","19.9500","28.7000",
"49-508","Heaven Hill","Christian Brothers","","80",".75L","10.7500","14.5000",
"49-512","Heaven Hill","Christian Brothers","","80",".375L","4.9500","6.8300",
"49-519","Heaven Hill","Christian Brothers XO Rare","","80",".75L","13.9500","17.7000",
"49-528","Heaven Hill","Christian Bros. Grand Reserve VSOP","","80",".75L","12.7500","16.5000",
"49-529","Heaven Hill","Christian Bros. Grand Reserve VSOP","","80",".375L","5.9500","7.8300",
"49-540","Heaven Hill","Coronet VSQ","","80","1.75L","19.9500","28.7000",
"49-542","Heaven Hill","Coronet VSQ","","80",".75L","8.9500","12.7000",
"49-579","E & J Gallo Winery","E & J","","80","1.75L","21.9500","30.7000",
"49-580","E & J Gallo Winery","E & J","","80",".75L","10.4500","14.2000",
"49-583","E & J Gallo Winery","E & J","","80",".375L","5.4500","7.3300",
"49-585","E & J Gallo Winery","E & J VSOP","","80","1.75L","22.9500","31.7000",
"49-587","E & J Gallo Winery","E & J VSOP","","80",".75L","12.4500","16.2000",
"49-588","E & J Gallo Winery","E & J VSOP","","80",".375L","5.9500","7.8300",
"49-589","E & J Gallo Winery","E & J XO Vintage Reserve","","80","1.75L","24.9500","33.7000",
"49-590","E & J Gallo Winery","E & J XO Vintage Reserve","007Y","80",".75L","13.9500","17.7000",
"49-594","E & J Gallo Winery","E & J VS Traveler","","80",".75L","10.4500","14.2000",
"49-654","Korbel","Korbel","","80",".75L","10.9500","14.7000",
"49-703","Constellation Wines","Paul Masson Grande Amber VSOP","004Y","80","1.75L","26.9500","35.7000",
"49-705","Constellation Wines","Paul Masson Grande Amber VSOP","004Y","80",".75L","12.9500","16.7000",
"49-706","Constellation Wines","Paul Masson Grande Amber VSOP","004Y","80",".375L","6.9500","8.8300",
"49-712","Constellation Wines","Paul Masson Grande Amber","003Y","80","1.75L","20.9500","29.7000",
"49-714","Constellation Wines","Paul Masson Grande Amber","003Y","80",".75L","10.9500","14.7000",
"49-715","Constellation Wines","Paul Masson Grande Amber (PET)","003Y","80",".75L","10.9500","14.7000",
"49-716","Constellation Wines","Paul Masson Grande Amber","003Y","80",".375L","4.9500","6.8300",
"50-419","Laird & Company","Capt. Applejack 80","004Y","80",".75L","16.9500","20.7000",
"50-426","Laird & Company","Capt. Applejack 100","004Y","100",".75L","18.9500","22.7000",
"50-515","Sidney Frank","Jacques Cardin VSOP Napoleon","","80","1.75L","19.9500","28.7000",
"50-516","Sidney Frank","Jacques Cardin VSOP Napoleon","","80",".75L","9.9500","13.7000",
"50-562","White Rock","Raynal VSOP Napoleon","","80",".75L","14.9500","18.7000",
"50-567","Remy Cointreau","St. Remy VSOP Napoleon","","80","1.75L","26.9500","35.7000",
"50-568","Remy Cointreau","St. Remy VSOP Napoleon","","80",".75L","12.4500","16.2000",
"50-570","Remy Cointreau","St. Remy VSOP Napoleon","","80",".375L","6.4500","8.3300",
"50-613","Anchor Distilling","Calvados Christian Drouin","","80",".75L","32.9500","36.7000",
"50-786","Pernod Ricard","Presidente","","80",".75L","12.9500","16.7000",
"51-007","Park Street Imports","Conjure Cognac","005Y","80",".75L","34.9500","38.7000",
"51-008","Park Street Imports","Conjure Cognac","005Y","80",".375L","19.9500","21.8300",
"51-040","Sazerac NA","Meukow VS","006Y","80",".75L","22.4500","26.2000",
